Title,Year,ID,Director 1,Director 2,Lead Actor,Supporting Actor,Genre 1,Genre 2,Genre 3,Length,ID,Jon,Shukanth,RT,iMDB,MC,Jake,Jeff,Letterboxd Link
Amadeus,1984,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/amadeus/
Elephant,2003,,Gus Van Sant,,,,Drama,,,81,,,,,,,,4,http://letterboxd.com/film/elephant-2003/
American Hustle,2013,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/american-hustle/
Elite Squad: The Enemy Within,2010,,José Padilha,,,,Action,,,115,,,,,,,3.5,4,http://letterboxd.com/film/elite-squad-the-enemy-within/
Argo,2012,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/argo/
Empire Records,1995,,Allan Moyle,,,,Comedy,,,90,,,,,,,,,
Ashes of Time,1994,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/ashes-of-time/
Enter the Dragon,1973,,Robert Clouse,,,,Action,,,98,,,,,,,,,
Escaflowne: The Movie,2000,,Kazuki Akane,,,,Anime,,,98,,,,,,,,,
Avatar,2009,,,,,,,,,,,,,,,,4,4,http://letterboxd.com/film/avatar/
Eternal Sunshine of the Spotless Mind,2004,,Michel Gondry,,,,Cerebral,,,108,,,,93,84,89,4.5,5,http://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/
Fallen Angels,1995,,Wong Kar-wai,,,,Asian,,,96,,,,,77,,2,5,http://letterboxd.com/film/fallen-angels/
Barton Fink,1991,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/barton-fink/
Fargo,1996,,Coen Brothers,,,,Dark Comedy,,,98,,,,,,,4,4,http://letterboxd.com/film/fargo/
Fear and Loathing in Las Vegas,1998,,Terry Gilliam,,,,Comedy,,,118,,,,,,,4.5,4,http://letterboxd.com/film/fear-and-loathing-in-las-vegas/
Battle Royale,2000,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/battle-royale/
Beasts of the Southern Wild,2012,,,,,,,,,,,,,,,,2.5,4,http://letterboxd.com/film/beasts-of-the-southern-wild/
Blackfish,2013,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/blackfish/
Blade Runner,1982,,,,,,,,,,,,,,,,4.5,4,http://letterboxd.com/film/blade-runner/
Fear of a Black Hat,1994,,Rusty Cundieff,,,,Comedy,,,88,,,,,,,,,
Fearless,2006,,Ronny Yu,,,,Asian,,,104,,,,,,,,3.5,http://letterboxd.com/film/fearless-2006/
Blue Velvet,1986,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/blue-velvet/
Boyz n the Hood,1991,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/boyz-n-the-hood/
Fight Club,1999,,David Fincher,,,,Action,,,139,,,,,,,5,4.5,http://letterboxd.com/film/fight-club/
Fist of Legend,1994,,Gordon Chan,,,,Asian,,,103,,,,,,,,,
Following,1998,,Christopher Nolan,,,,Suspense,,,69,,,,,,,,,
Carlos,2010,,,,,,,,,,,,,,,,3,4,http://letterboxd.com/film/carlos/
Cars,2006,,,,,,,,,,,,,,,,2.5,4,http://letterboxd.com/film/cars/
Forrest Gump,1994,,Robert Zemeckis,,,,Comedy,,,142,,,,,,,4,4.5,http://letterboxd.com/film/forrest-gump/
Che: Part Two,2008,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/che-part-two/
Four Lions,2010,,Christopher Morris,,,,Comedy,,,97,,,,,,,,4,http://letterboxd.com/film/four-lions/
Close-Up,1990,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/close-up/
Friday,1995,,F. Gary Gray,,,,Comedy,,,91,,,,,,,,,
Full Contact,1992,,Ringo Lam,,,,Asian,,,96,,,,,,,,,
Contagion,2011,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/contagion-2011/
Damsels in Distress,2011,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/damsels-in-distress/
Dazed and Confused,1993,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/dazed-and-confused/
Death Proof,2007,,,,,,,,,,,,,,,,5,4,http://letterboxd.com/film/death-proof/
Full Metal Jacket,1987,,Stanley Kubrick,,,,Action,,,116,,,,,,,4,4,http://letterboxd.com/film/full-metal-jacket/
Funny Ha Ha,2005,,Andrew Bujalski,,,,Comedy,,,85,,,,,,,,,
Dog Day Afternoon,1975,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/dog-day-afternoon/
Dogtown and Z-Boys,2001,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/dogtown-and-z-boys/
Drinking Buddies,2013,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/drinking-buddies/
Dumb and Dumber,1994,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/dumb-and-dumber/
Garden State,2004,,Zach Braff,,,,Drama,,,102,,,,,,,,,
Ghost Dog: The Way of the Samurai,1999,,Jim Jarmusch,,,,Drama,,,116,,,,,,,,4,http://letterboxd.com/film/ghost-dog-the-way-of-the-samurai/
Enemy of the State,1998,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/enemy-of-the-state/
Evangelion: 2.0 You Can (Not) Advance,2009,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/evangelion-20-you-can-not-advance/
Exit Through the Gift Shop,2010,,,,,,,,,,,,,,,,4,4,http://letterboxd.com/film/exit-through-the-gift-shop/
Ghost in the Shell,1995,,Mamoru Oshii,,,,Anime,,,83,,,,,,,5,,http://letterboxd.com/film/ghost-in-the-shell/
Fast Food Nation,2006,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/fast-food-nation/
Ghost in the Shell 2: Innocence,2004,,Mamoru Oshii,,,,Anime,,,100,,,,,,,,,
Ferris Bueller's Day Off,1986,,,,,,,,,,,,,,,,4,4,http://letterboxd.com/film/ferris-buellers-day-off/
Finding Nemo,2003,,,,,,,,,,,,,,,,4,4,http://letterboxd.com/film/finding-nemo/
Flirting with Disaster,1996,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/flirting-with-disaster/
Ghost World,2001,,Terry Zwigoff,,,,Dark Comedy,,,111,,,,92,75,88,,5,http://letterboxd.com/film/ghost-world/
Gladiator,2000,,Ridley Scott,,,,Action,,,155,,,,,,,5,4.5,http://letterboxd.com/film/gladiator-2000/
Gattaca,1997,,,,,,,,,,,,,,,,3.5,4,http://letterboxd.com/film/gattaca/
George Washington,2000,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/george-washington/
Go,1999,,Doug Liman,,,,Comedy,,,102,,,,,,,,,
Gimme the Loot,2012,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/gimme-the-loot/
Glengarry Glen Ross,1992,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/glengarry-glen-ross/
GoldenEye,1995,,,,,,,,,,,,,,,,4.5,4,http://letterboxd.com/film/goldeneye/
Gone Baby Gone,2007,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/gone-baby-gone/
Good Will Hunting,1997,,Gus Van Sant,,,,Drama,,,126,,,,,,,4.5,4.5,http://letterboxd.com/film/good-will-hunting/
Goyôkin,1969,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/goyokin/
Grindhouse,2007,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/grindhouse/
